"table_name"	"ordinal"	"column_name"	"type_name"	"max_length"	"precision"	"scale"	"is_nullable"	"is_identity"	"is_pk"	"pk_name"	"default_definition"
"TACTIVECHARTABLE"	"2"	"dateEnter"	"smalldatetime"	"4"	"16"	"0"	"0"	"0"	"0"	"PK__TACTIVEC__B92C9D036CE4AC70"	
"TAICHART"	"1"	"bAIType"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"1"	"PK__TAICHART__8863207C365E7E8D"	
"TAICHART"	"2"	"dwCmdID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TAICHART__8863207C365E7E8D"	
"TAICHART"	"3"	"bTriggerType"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"1"	"PK__TAICHART__8863207C365E7E8D"	
"TAICHART"	"4"	"dwTriggerID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TAICHART__8863207C365E7E8D"	
"TAICHART"	"5"	"dwDelay"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TAICHART__8863207C365E7E8D"	
"TAICHART"	"6"	"bLoop"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TAICHART__8863207C365E7E8D"	
"TAICMDCHART"	"1"	"dwCmdID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TAICMDCH__E1DB92C4393AEB38"	
"TAICMDCHART"	"2"	"bCmdType"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TAICMDCH__E1DB92C4393AEB38"	
"TAICONCHART"	"1"	"dwCmdID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TAICONCH__2433FB783C1757E3"	
"TAICONCHART"	"2"	"bConditionType"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"1"	"PK__TAICONCH__2433FB783C1757E3"	
"TAICONCHART"	"3"	"dwConditionID"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TAICONCH__2433FB783C1757E3"	
"TAIDTABLE"	"1"	"dwCharID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TAIDTABL__B92C9D037C26F000"	
"TAIDTABLE"	"2"	"bCountry"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TAIDTABL__B92C9D037C26F000"	
"TAIDTABLE"	"3"	"dDate"	"smalldatetime"	"4"	"16"	"0"	"0"	"0"	"0"	"PK__TAIDTABL__B92C9D037C26F000"	
"TARENACHART"	"1"	"wID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"1"	"PK__TARENACH__30FE57433EF3C48E"	
"TARENACHART"	"2"	"bType"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TARENACH__30FE57433EF3C48E"	
"TARENACHART"	"3"	"dwFee"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TARENACH__30FE57433EF3C48E"	
"TARENACHART"	"4"	"wInPos"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TARENACH__30FE57433EF3C48E"	
"TARENACHART"	"5"	"wOutPos"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TARENACH__30FE57433EF3C48E"	
"TAUCTIONBIDDER"	"1"	"dwAuctionID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TAUCTION__8AA1FCC403C811C8"	
"TAUCTIONBIDDER"	"2"	"dwCharID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TAUCTION__8AA1FCC403C811C8"	
"TAUCTIONBIDDER"	"3"	"dlBidPrice"	"bigint"	"8"	"19"	"0"	"0"	"0"	"0"	"PK__TAUCTION__8AA1FCC403C811C8"	
"TAUCTIONBIDDER"	"4"	"DateBid"	"smalldatetime"	"4"	"16"	"0"	"0"	"0"	"0"	"PK__TAUCTION__8AA1FCC403C811C8"	
"TAUCTIONINTEREST"	"1"	"dwCharID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TAUCTION__E33FAE520798A2AC"	
"TAUCTIONINTEREST"	"2"	"dwAuctionID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TAUCTION__E33FAE520798A2AC"	
"TAUCTIONTABLE"	"1"	"dwAuctionID"	"int"	"4"	"10"	"0"	"0"	"1"	"1"	"PK__TAUCTION__A133351441D03139"	
"TAUCTIONTABLE"	"2"	"wNpcID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TAUCTION__A133351441D03139"	
"TAUCTIONTABLE"	"3"	"dwCharID"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TAUCTION__A133351441D03139"	
"TAUCTIONTABLE"	"4"	"DateStart"	"smalldatetime"	"4"	"16"	"0"	"0"	"0"	"0"	"PK__TAUCTION__A133351441D03139"	
"TAUCTIONTABLE"	"5"	"DateEnd"	"smalldatetime"	"4"	"16"	"0"	"0"	"0"	"0"	"PK__TAUCTION__A133351441D03139"	
"TAUCTIONTABLE"	"6"	"dlDirectPrice"	"bigint"	"8"	"19"	"0"	"0"	"0"	"0"	"PK__TAUCTION__A133351441D03139"	
"TAUCTIONTABLE"	"7"	"dlStartPrice"	"bigint"	"8"	"19"	"0"	"0"	"0"	"0"	"PK__TAUCTION__A133351441D03139"	
"TAUCTIONTABLE"	"8"	"dlItemID"	"bigint"	"8"	"19"	"0"	"0"	"0"	"0"	"PK__TAUCTION__A133351441D03139"	
"TAUCTIONTABLE"	"9"	"bBidCount"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TAUCTION__A133351441D03139"	
"TBATTLERANKCHART"	"1"	"bRank"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TBATTLERANKCHART"	"2"	"dwPoint"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TBATTLETIMECHART"	"1"	"bType"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"1"	"PK__TBATTLET__833405D22CC005BA"	
"TBATTLETIMECHART"	"2"	"dwBattleDur"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TBATTLET__833405D22CC005BA"	
"TBATTLETIMECHART"	"3"	"dwBattleStart"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TBATTLET__833405D22CC005BA"	
"TBATTLETIMECHART"	"4"	"dwAlarmStart"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TBATTLET__833405D22CC005BA"	
"TBATTLETIMECHART"	"5"	"dwAlarmEnd"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TBATTLET__833405D22CC005BA"	
"TBATTLETIMECHART"	"6"	"dwPeaceDur"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TBATTLET__833405D22CC005BA"	
"TBATTLETIMECHART"	"7"	"bDay"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TBATTLET__833405D22CC005BA"	"((0))"
"TBATTLETIMECHART"	"8"	"bWeek"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TBATTLET__833405D22CC005BA"	"((0))"
"TBATTLEZONECHART"	"1"	"wID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"1"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBATTLEZONECHART"	"2"	"szName"	"varchar"	"50"	"0"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBATTLEZONECHART"	"3"	"wMapID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBATTLEZONECHART"	"4"	"wCastle"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBATTLEZONECHART"	"5"	"wBossSpawnID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"6"	"wLGateKeeperSpawnID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"7"	"wRGateKeeperSpawnID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"8"	"dwLSwitchID"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"9"	"dwRSwitchID"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"10"	"wNormalItem"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"11"	"wChiefItem"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"12"	"bLine"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"13"	"wCGateKeeperSpawnID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"14"	"dwCSwitchID"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"15"	"wSkill1"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"16"	"wSkill2"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"17"	"bItemLevel"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	"((0))"
"TBATTLEZONECHART"	"18"	"wValorianBossDefend"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBATTLEZONECHART"	"19"	"wValorianBossAttack"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBATTLEZONECHART"	"20"	"wDerionBossDefend"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBATTLEZONECHART"	"21"	"wDerionBossAttack"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBATTLEZONECHART"	"22"	"wMiddleSpawnID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBATTLEZONECHART"	"23"	"wRightSpawnID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBATTLEZONECHART"	"24"	"wLeftSpawnID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TBATTLEZ__30FE57433278DF10"	
"TBOWBONUSITEMCHART"	"1"	"bItemID"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TBOWBONUSITEMCHART"	"2"	"wItemID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBOWBONUSITEMCHART"	"3"	"wPrice"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART"	"1"	"bClass"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART"	"2"	"bInvenID"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART"	"3"	"wMinItemID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART"	"4"	"wMaxItemID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART"	"5"	"wDependOnItemID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART"	"6"	"bCount"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART1"	"1"	"bClass"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART1"	"2"	"bInvenID"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART1"	"3"	"wMinItemID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART1"	"4"	"wMaxItemID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART1"	"5"	"wDependOnItemID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBOWITEMCHART1"	"6"	"bCount"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TBOWSETTINGSCHART"	"1"	"wMapID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBOWSETTINGSCHART"	"2"	"bMinPlayersCount"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TBOWSETTINGSCHART"	"3"	"bMaxNationDifference"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TBOWSETTINGSCHART"	"4"	"dwAlarmDur"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TBOWSETTINGSCHART"	"5"	"dwBuyTimeDur"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TBOWSETTINGSCHART"	"6"	"dwBattleDur"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TBRPLAYERTABLE"	"1"	"dwCharID"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TBRPLAYERTABLE"	"2"	"dwUserID"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TBRSETTINGSCHART"	"1"	"bMinPlayerCount"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBRSETTINGSCHART"	"2"	"dwAlarmDur"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TBRSETTINGSCHART"	"3"	"dwBuyTimeDur"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TBRSETTINGSCHART"	"4"	"dwBattleDur"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TBRSPAWNPOSCHART"	"1"	"wMapID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBRSPAWNPOSCHART"	"2"	"fPosX"	"float"	"8"	"53"	"0"	"0"	"0"	"0"		
"TBRSPAWNPOSCHART"	"3"	"fPosY"	"float"	"8"	"53"	"0"	"0"	"0"	"0"		
"TBRSPAWNPOSCHART"	"4"	"fPosZ"	"float"	"8"	"53"	"0"	"0"	"0"	"0"		
"TBRSUPPLIESCHART"	"1"	"dwTick"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TBRSUPPLIESCHART"	"2"	"wItemID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TBRSUPPLIESCHART"	"3"	"bCount"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TCABINETITEMTABLE"	"1"	"dwCharID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"2"	"bCabinetID"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"1"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"3"	"dwStItemID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"4"	"wItemID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"5"	"bLevel"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"6"	"bCount"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"7"	"bGLevel"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	"((0))"
"TCABINETITEMTABLE"	"8"	"bMagic1"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"9"	"bMagic2"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"10"	"bMagic3"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"11"	"bMagic4"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"12"	"bMagic5"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"13"	"bMagic6"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"14"	"wValue1"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"15"	"wValue2"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"16"	"wValue3"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"17"	"wValue4"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"18"	"wValue5"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"19"	"wValue6"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"20"	"dwTime1"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"21"	"dwTime2"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"22"	"dwTime3"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"23"	"dwTime4"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"24"	"dwTime5"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETITEMTABLE"	"25"	"dwTime6"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCABINET__A2C2BB4D25290593"	
"TCABINETTABLE"	"1"	"dwCharID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TCABINET__83E1E3EF29EDBAB0"	
"TCABINETTABLE"	"2"	"bCabinetID"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"1"	"PK__TCABINET__83E1E3EF29EDBAB0"	
"TCABINETTABLE"	"3"	"bUse"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCABINET__83E1E3EF29EDBAB0"	
"TCASTLEAPPLICANTTABLE"	"1"	"wCastleID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TCASTLEA__B92C9D032DBE4B94"	
"TCASTLEAPPLICANTTABLE"	"2"	"dwCharID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TCASTLEA__B92C9D032DBE4B94"	
"TCASTLEAPPLICANTTABLE"	"3"	"bCamp"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCASTLEA__B92C9D032DBE4B94"	
"TCASTLETABLE"	"1"	"wCastle"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TCASTLETABLE"	"2"	"bCountry"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TCASTLETABLE"	"3"	"dwGuildID"	"int"	"4"	"10"	"0"	"0"	"0"	"0"		
"TCASTLETABLE"	"4"	"dateWarTime"	"smalldatetime"	"4"	"16"	"0"	"0"	"0"	"0"		
"TCASTLETABLE"	"5"	"szHero"	"varchar"	"50"	"0"	"0"	"0"	"0"	"0"		
"TCASTLETABLE"	"6"	"dateHero"	"smalldatetime"	"4"	"16"	"0"	"0"	"0"	"0"		"((0))"
"TCHANGEDITEM"	"1"	"wOld"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TCHANGEDITEM"	"2"	"wNew"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TCHANNELCHART"	"1"	"bGroupID"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TCHANNELCHART"	"2"	"wMapID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TCHANNELCHART"	"3"	"wUnitID"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"		
"TCHANNELCHART"	"4"	"bLogChannel"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TCHANNELCHART"	"5"	"bPhyChannel"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"		
"TCHARTABLE"	"1"	"dwCharID"	"int"	"4"	"10"	"0"	"0"	"1"	"1"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"2"	"dwUserID"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"3"	"bSlot"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"4"	"szNAME"	"varchar"	"50"	"0"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"5"	"bStartAct"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	"((1))"
"TCHARTABLE"	"6"	"bClass"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"7"	"bRace"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"8"	"bCountry"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"9"	"bRealSex"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"10"	"bSex"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"11"	"bHair"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"12"	"bFace"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"13"	"bBody"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"14"	"bPants"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"15"	"bHand"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"16"	"bFoot"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"17"	"bHelmetHide"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	"((0))"
"TCHARTABLE"	"18"	"bLevel"	"tinyint"	"1"	"3"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"19"	"dwEXP"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"20"	"dwHP"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"21"	"dwMP"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	
"TCHARTABLE"	"22"	"wSkillPoint"	"smallint"	"2"	"5"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	"((0))"
"TCHARTABLE"	"23"	"dwRegion"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__TCHARTAB__B92C9D0367D5DE90"	"((0))"
